,Date,To_Date,Predict_values
774,2014-03-09,2014-03-16,0
775,2014-03-16,2014-03-23,1
776,2014-03-23,2014-03-30,1
777,2014-03-30,2014-04-06,1
778,2014-04-06,2014-04-13,1
779,2014-04-13,2014-04-20,0
780,2014-04-20,2014-04-27,0
781,2014-04-27,2014-05-04,0
782,2014-05-04,2014-05-11,1
783,2014-05-11,2014-05-18,1
784,2014-05-18,2014-05-25,1
785,2014-05-25,2014-06-01,1
786,2014-06-01,2014-06-08,1
787,2014-06-08,2014-06-15,0
788,2014-06-15,2014-06-22,1
789,2014-06-22,2014-06-29,0
790,2014-06-29,2014-07-06,0
791,2014-07-06,2014-07-13,1
792,2014-07-13,2014-07-20,1
793,2014-07-20,2014-07-27,1
794,2014-07-27,2014-08-03,1
795,2014-08-03,2014-08-10,1
796,2014-08-10,2014-08-17,1
797,2014-08-17,2014-08-24,1
798,2014-08-24,2014-08-31,1
799,2014-08-31,2014-09-07,1
800,2014-09-07,2014-09-14,1
801,2014-09-14,2014-09-21,1
802,2014-09-21,2014-09-28,1
803,2014-09-28,2014-10-05,1
804,2014-10-05,2014-10-12,1
805,2014-10-12,2014-10-19,1
806,2014-10-19,2014-10-26,0
807,2014-10-26,2014-11-02,1
808,2014-11-02,2014-11-09,1
809,2014-11-09,2014-11-16,1
810,2014-11-16,2014-11-23,1
811,2014-11-23,2014-11-30,1
812,2014-11-30,2014-12-07,1
813,2014-12-07,2014-12-14,1
814,2014-12-14,2014-12-21,0
815,2014-12-21,2014-12-28,1
816,2014-12-28,2015-01-04,1
817,2015-01-04,2015-01-11,1
818,2015-01-11,2015-01-18,1
819,2015-01-18,2015-01-25,1
820,2015-01-25,2015-02-01,1
821,2015-02-01,2015-02-08,1
822,2015-02-08,2015-02-15,1
823,2015-02-15,2015-02-22,1
824,2015-02-22,2015-03-01,1
825,2015-03-01,2015-03-08,1
826,2015-03-08,2015-03-15,1
827,2015-03-15,2015-03-22,1
828,2015-03-22,2015-03-29,0
829,2015-03-29,2015-04-05,0
830,2015-04-05,2015-04-12,0
831,2015-04-12,2015-04-19,1
832,2015-04-19,2015-04-26,1
833,2015-04-26,2015-05-03,0
834,2015-05-03,2015-05-10,0
835,2015-05-10,2015-05-17,0
836,2015-05-17,2015-05-24,0
837,2015-05-24,2015-05-31,1
838,2015-05-31,2015-06-07,1
839,2015-06-07,2015-06-14,1
840,2015-06-14,2015-06-21,0
841,2015-06-21,2015-06-28,0
842,2015-06-28,2015-07-05,1
843,2015-07-05,2015-07-12,1
844,2015-07-12,2015-07-19,1
845,2015-07-19,2015-07-26,1
846,2015-07-26,2015-08-02,1
847,2015-08-02,2015-08-09,0
848,2015-08-09,2015-08-16,0
849,2015-08-16,2015-08-23,0
850,2015-08-23,2015-08-30,0
851,2015-08-30,2015-09-06,1
852,2015-09-06,2015-09-13,1
853,2015-09-13,2015-09-20,0
854,2015-09-20,2015-09-27,0
855,2015-09-27,2015-10-04,1
856,2015-10-04,2015-10-11,0
857,2015-10-11,2015-10-18,0
858,2015-10-18,2015-10-25,0
859,2015-10-25,2015-11-01,1
860,2015-11-01,2015-11-08,1
861,2015-11-08,2015-11-15,1
862,2015-11-15,2015-11-22,1
863,2015-11-22,2015-11-29,1
864,2015-11-29,2015-12-06,1
865,2015-12-06,2015-12-13,0
866,2015-12-13,2015-12-20,0
867,2015-12-20,2015-12-27,0
868,2015-12-27,2016-01-03,1
869,2016-01-03,2016-01-10,1
870,2016-01-10,2016-01-17,1
871,2016-01-17,2016-01-24,1
872,2016-01-24,2016-01-31,1
873,2016-01-31,2016-02-07,1
874,2016-02-07,2016-02-14,0
875,2016-02-14,2016-02-21,0
876,2016-02-21,2016-02-28,1
877,2016-02-28,2016-03-06,1
878,2016-03-06,2016-03-13,1
879,2016-03-13,2016-03-20,0
880,2016-03-20,2016-03-27,0
881,2016-03-27,2016-04-03,0
882,2016-04-03,2016-04-10,0
883,2016-04-10,2016-04-17,0
884,2016-04-17,2016-04-24,1
885,2016-04-24,2016-05-01,1
886,2016-05-01,2016-05-08,0
887,2016-05-08,2016-05-15,0
888,2016-05-15,2016-05-22,1
889,2016-05-22,2016-05-29,1
890,2016-05-29,2016-06-05,1
891,2016-06-05,2016-06-12,0
892,2016-06-12,2016-06-19,0
893,2016-06-19,2016-06-26,0
894,2016-06-26,2016-07-03,1
895,2016-07-03,2016-07-10,1
896,2016-07-10,2016-07-17,1
897,2016-07-17,2016-07-24,1
898,2016-07-24,2016-07-31,1
899,2016-07-31,2016-08-07,0
900,2016-08-07,2016-08-14,0
901,2016-08-14,2016-08-21,0
902,2016-08-21,2016-08-28,0
903,2016-08-28,2016-09-04,1
904,2016-09-04,2016-09-11,1
905,2016-09-11,2016-09-18,1
906,2016-09-18,2016-09-25,1
907,2016-09-25,2016-10-02,0
908,2016-10-02,2016-10-09,0
909,2016-10-09,2016-10-16,1
910,2016-10-16,2016-10-23,1
911,2016-10-23,2016-10-30,1
912,2016-10-30,2016-11-06,0
913,2016-11-06,2016-11-13,0
914,2016-11-13,2016-11-20,1
915,2016-11-20,2016-11-27,1
916,2016-11-27,2016-12-04,1
917,2016-12-04,2016-12-11,1
918,2016-12-11,2016-12-18,1
919,2016-12-18,2016-12-25,1
920,2016-12-25,2017-01-01,1
921,2017-01-01,2017-01-08,1
922,2017-01-08,2017-01-15,0
923,2017-01-15,2017-01-22,0
924,2017-01-22,2017-01-29,0
925,2017-01-29,2017-02-05,1
926,2017-02-05,2017-02-12,1
927,2017-02-12,2017-02-19,1
928,2017-02-19,2017-02-26,1
929,2017-02-26,2017-03-05,1
930,2017-03-05,2017-03-12,0
931,2017-03-12,2017-03-19,0
932,2017-03-19,2017-03-26,0
933,2017-03-26,2017-04-02,0
934,2017-04-02,2017-04-09,1
935,2017-04-09,2017-04-16,1
936,2017-04-16,2017-04-23,1
937,2017-04-23,2017-04-30,0
938,2017-04-30,2017-05-07,0
939,2017-05-07,2017-05-14,0
940,2017-05-14,2017-05-21,0
941,2017-05-21,2017-05-28,0
942,2017-05-28,2017-06-04,0
943,2017-06-04,2017-06-11,0
944,2017-06-11,2017-06-18,0
945,2017-06-18,2017-06-25,1
946,2017-06-25,2017-07-02,1
947,2017-07-02,2017-07-09,0
948,2017-07-09,2017-07-16,0
949,2017-07-16,2017-07-23,0
950,2017-07-23,2017-07-30,0
951,2017-07-30,2017-08-06,0
952,2017-08-06,2017-08-13,0
953,2017-08-13,2017-08-20,0
954,2017-08-20,2017-08-27,0
955,2017-08-27,2017-09-03,0
956,2017-09-03,2017-09-10,0
957,2017-09-10,2017-09-17,0
958,2017-09-17,2017-09-24,0
959,2017-09-24,2017-10-01,1
960,2017-10-01,2017-10-08,1
961,2017-10-08,2017-10-15,1
962,2017-10-15,2017-10-22,0
963,2017-10-22,2017-10-29,0
964,2017-10-29,2017-11-05,1
965,2017-11-05,2017-11-12,1
966,2017-11-12,2017-11-19,0
967,2017-11-19,2017-11-26,0
968,2017-11-26,2017-12-03,0
969,2017-12-03,2017-12-10,0
970,2017-12-10,2017-12-17,1
971,2017-12-17,2017-12-24,1
972,2017-12-24,2017-12-31,0
973,2017-12-31,2018-01-07,0
974,2018-01-07,2018-01-14,0
975,2018-01-14,2018-01-21,0
976,2018-01-21,2018-01-28,0
977,2018-01-28,2018-02-04,0
978,2018-02-04,2018-02-11,0
979,2018-02-11,2018-02-18,1
980,2018-02-18,2018-02-25,1
981,2018-02-25,2018-03-04,1
982,2018-03-04,2018-03-11,1
983,2018-03-11,2018-03-18,0
984,2018-03-18,2018-03-25,0
985,2018-03-25,2018-04-01,0
986,2018-04-01,2018-04-08,0
987,2018-04-08,2018-04-15,1
988,2018-04-15,2018-04-22,1
989,2018-04-22,2018-04-29,1
990,2018-04-29,2018-05-06,1
991,2018-05-06,2018-05-13,1
992,2018-05-13,2018-05-20,1
993,2018-05-20,2018-05-27,1
994,2018-05-27,2018-06-03,1
995,2018-06-03,2018-06-10,1
996,2018-06-10,2018-06-17,0
997,2018-06-17,2018-06-24,1
998,2018-06-24,2018-07-01,1
999,2018-07-01,2018-07-08,1
1000,2018-07-08,2018-07-15,1
1001,2018-07-15,2018-07-22,1
1002,2018-07-22,2018-07-29,1
1003,2018-07-29,2018-08-05,1
1004,2018-08-05,2018-08-12,1
1005,2018-08-12,2018-08-19,1
1006,2018-08-19,2018-08-26,0
1007,2018-08-26,2018-09-02,0
1008,2018-09-02,2018-09-09,0
1009,2018-09-09,2018-09-16,1
1010,2018-09-16,2018-09-23,1
1011,2018-09-23,2018-09-30,0
1012,2018-09-30,2018-10-07,1
1013,2018-10-07,2018-10-14,1
1014,2018-10-14,2018-10-21,1
1015,2018-10-21,2018-10-28,1
1016,2018-10-28,2018-11-04,1
1017,2018-11-04,2018-11-11,1
1018,2018-11-11,2018-11-18,1
1019,2018-11-18,2018-11-25,0
1020,2018-11-25,2018-12-02,1
1021,2018-12-02,2018-12-09,1
1022,2018-12-09,2018-12-16,1
1023,2018-12-16,2018-12-23,1
1024,2018-12-23,2018-12-30,1
1025,2018-12-30,2019-01-06,0
1026,2019-01-06,2019-01-13,0
1027,2019-01-13,2019-01-20,1
1028,2019-01-20,2019-01-27,1
1029,2019-01-27,2019-02-03,1
1030,2019-02-03,2019-02-10,1
1031,2019-02-10,2019-02-17,1
1032,2019-02-17,2019-02-24,1
1033,2019-02-24,2019-03-03,0
1034,2019-03-03,2019-03-10,0
1035,2019-03-10,2019-03-17,1
1036,2019-03-17,2019-03-24,1
1037,2019-03-24,2019-03-31,1
1038,2019-03-31,2019-04-07,1
1039,2019-04-07,2019-04-14,1
1040,2019-04-14,2019-04-21,0
1041,2019-04-21,2019-04-28,1
1042,2019-04-28,2019-05-05,1
1043,2019-05-05,2019-05-12,0
1044,2019-05-12,2019-05-19,0
1045,2019-05-19,2019-05-26,1
1046,2019-05-26,2019-06-02,1
1047,2019-06-02,2019-06-09,0
1048,2019-06-09,2019-06-16,0
1049,2019-06-16,2019-06-23,0
1050,2019-06-23,2019-06-30,0
1051,2019-06-30,2019-07-07,1
1052,2019-07-07,2019-07-14,1
1053,2019-07-14,2019-07-21,1
1054,2019-07-21,2019-07-28,1
1055,2019-07-28,2019-08-04,1
1056,2019-08-04,2019-08-11,0
1057,2019-08-11,2019-08-18,0
1058,2019-08-18,2019-08-25,1
1059,2019-08-25,2019-09-01,1
1060,2019-09-01,2019-09-08,1
1061,2019-09-08,2019-09-15,1
1062,2019-09-15,2019-09-22,0
1063,2019-09-22,2019-09-29,1
1064,2019-09-29,2019-10-06,1
1065,2019-10-06,2019-10-13,1
1066,2019-10-13,2019-10-20,0
1067,2019-10-20,2019-10-27,0
1068,2019-10-27,2019-11-03,0
1069,2019-11-03,2019-11-10,1
1070,2019-11-10,2019-11-17,1
1071,2019-11-17,2019-11-24,1
1072,2019-11-24,2019-12-01,1
1073,2019-12-01,2019-12-08,1
1074,2019-12-08,2019-12-15,0
1075,2019-12-15,2019-12-22,0
1076,2019-12-22,2019-12-29,0
1077,2019-12-29,2020-01-05,0
1078,2020-01-05,2020-01-12,1
1079,2020-01-12,2020-01-19,1
1080,2020-01-19,2020-01-26,1
1081,2020-01-26,2020-02-02,1
1082,2020-02-02,2020-02-09,0
1083,2020-02-09,2020-02-16,1
1084,2020-02-16,2020-02-23,1
1085,2020-02-23,2020-03-01,0
1086,2020-03-01,2020-03-08,0
1087,2020-03-08,2020-03-15,0
1088,2020-03-15,2020-03-22,1
1089,2020-03-22,2020-03-29,1
1090,2020-03-29,2020-04-05,0
1091,2020-04-05,2020-04-12,0
1092,2020-04-12,2020-04-19,0
1093,2020-04-19,2020-04-26,0
1094,2020-04-26,2020-05-03,1
1095,2020-05-03,2020-05-10,0
1096,2020-05-10,2020-05-17,1
1097,2020-05-17,2020-05-24,1
1098,2020-05-24,2020-05-31,0
1099,2020-05-31,2020-06-07,0
1100,2020-06-07,2020-06-14,0
1101,2020-06-14,2020-06-21,0
1102,2020-06-21,2020-06-28,1
1103,2020-06-28,2020-07-05,1
1104,2020-07-05,2020-07-12,1
1105,2020-07-12,2020-07-19,0
1106,2020-07-19,2020-07-26,0
1107,2020-07-26,2020-08-02,0
1108,2020-08-02,2020-08-09,0
1109,2020-08-09,2020-08-16,0
1110,2020-08-16,2020-08-23,0
1111,2020-08-23,2020-08-30,0
1112,2020-08-30,2020-09-06,0
1113,2020-09-06,2020-09-13,1
1114,2020-09-13,2020-09-20,1
1115,2020-09-20,2020-09-27,0
1116,2020-09-27,2020-10-04,1
1117,2020-10-04,2020-10-11,0
1118,2020-10-11,2020-10-18,0
1119,2020-10-18,2020-10-25,0
1120,2020-10-25,2020-11-01,0
1121,2020-11-01,2020-11-08,1
1122,2020-11-08,2020-11-15,0
1123,2020-11-15,2020-11-22,0
1124,2020-11-22,2020-11-29,0
1125,2020-11-29,2020-12-06,1
1126,2020-12-06,2020-12-13,0
1127,2020-12-13,2020-12-20,0
1128,2020-12-20,2020-12-27,0
1129,2020-12-27,2021-01-03,1
1130,2021-01-03,2021-01-10,1
1131,2021-01-10,2021-01-17,1
1132,2021-01-17,2021-01-24,1
1133,2021-01-24,2021-01-31,1
1134,2021-01-31,2021-02-07,0
1135,2021-02-07,2021-02-14,0
1136,2021-02-14,2021-02-21,0
1137,2021-02-21,2021-02-28,0
1138,2021-02-28,2021-03-07,1
1139,2021-03-07,2021-03-14,1
1140,2021-03-14,2021-03-21,1
1141,2021-03-21,2021-03-28,1
1142,2021-03-28,2021-04-04,1
1143,2021-04-04,2021-04-11,1
1144,2021-04-11,2021-04-18,0
1145,2021-04-18,2021-04-25,0
1146,2021-04-25,2021-05-02,0
1147,2021-05-02,2021-05-09,1
1148,2021-05-09,2021-05-16,1
1149,2021-05-16,2021-05-23,1
1150,2021-05-23,2021-05-30,1
1151,2021-05-30,2021-06-06,1
1152,2021-06-06,2021-06-13,1
1153,2021-06-13,2021-06-20,1
1154,2021-06-20,2021-06-27,1
1155,2021-06-27,2021-07-04,1
1156,2021-07-04,2021-07-11,1
1157,2021-07-11,2021-07-18,1
1158,2021-07-18,2021-07-25,1
1159,2021-07-25,2021-08-01,1
1160,2021-08-01,2021-08-08,0
1161,2021-08-08,2021-08-15,1
1162,2021-08-15,2021-08-22,1
1163,2021-08-22,2021-08-29,1
1164,2021-08-29,2021-09-05,0
1165,2021-09-05,2021-09-12,0
1166,2021-09-12,2021-09-19,1
1167,2021-09-19,2021-09-26,1
1168,2021-09-26,2021-10-03,1
1169,2021-10-03,2021-10-10,1
1170,2021-10-10,2021-10-17,1
1171,2021-10-17,2021-10-24,0
1172,2021-10-24,2021-10-31,1
1173,2021-10-31,2021-11-07,1
1174,2021-11-07,2021-11-14,1
1175,2021-11-14,2021-11-21,1
1176,2021-11-21,2021-11-28,1
1177,2021-11-28,2021-12-05,1
1178,2021-12-05,2021-12-12,1
1179,2021-12-12,2021-12-19,1
1180,2021-12-19,2021-12-26,1
1181,2021-12-26,2022-01-02,1
1182,2022-01-02,2022-01-09,0
1183,2022-01-09,2022-01-16,0
1184,2022-01-16,2022-01-23,1
1185,2022-01-23,2022-01-30,1
1186,2022-01-30,2022-02-06,1
1187,2022-02-06,2022-02-13,0
1188,2022-02-13,2022-02-20,0
1189,2022-02-20,2022-02-27,1
1190,2022-02-27,2022-03-06,1
1191,2022-03-06,2022-03-13,1
1192,2022-03-13,2022-03-20,1
1193,2022-03-20,2022-03-27,0
1194,2022-03-27,2022-04-03,0
1195,2022-04-03,2022-04-10,0
1196,2022-04-10,2022-04-17,1
1197,2022-04-17,2022-04-24,1
1198,2022-04-24,2022-05-01,1
1199,2022-05-01,2022-05-08,1
1200,2022-05-08,2022-05-15,1
1201,2022-05-15,2022-05-22,1
1202,2022-05-22,2022-05-29,0
1203,2022-05-29,2022-06-05,0
1204,2022-06-05,2022-06-12,0
1205,2022-06-12,2022-06-19,1
1206,2022-06-19,2022-06-26,1
1207,2022-06-26,2022-07-03,1
1208,2022-07-03,2022-07-10,1
1209,2022-07-10,2022-07-17,1
1210,2022-07-17,2022-07-24,1
1211,2022-07-24,2022-07-31,0
1212,2022-07-31,2022-08-07,1
1213,2022-08-07,2022-08-14,1
1214,2022-08-14,2022-08-21,1
1215,2022-08-21,2022-08-28,1
1216,2022-08-28,2022-09-04,1
1217,2022-09-04,2022-09-11,1
1218,2022-09-11,2022-09-18,0
1219,2022-09-18,2022-09-25,0
1220,2022-09-25,2022-10-02,1
1221,2022-10-02,2022-10-09,1
1222,2022-10-09,2022-10-16,1
1223,2022-10-16,2022-10-23,1
1224,2022-10-23,2022-10-30,0
1225,2022-10-30,2022-11-06,0
1226,2022-11-06,2022-11-13,0
1227,2022-11-13,2022-11-20,0
1228,2022-11-20,2022-11-27,0
1229,2022-11-27,2022-12-04,0
1230,2022-12-04,2022-12-11,0
1231,2022-12-11,2022-12-18,0
1232,2022-12-18,2022-12-25,0
1233,2022-12-25,2023-01-01,0
1234,2023-01-01,2023-01-08,0
1235,2023-01-08,2023-01-15,0
1236,2023-01-15,2023-01-22,0
1237,2023-01-22,2023-01-29,0
1238,2023-01-29,2023-02-05,0
1239,2023-02-05,2023-02-12,1
1240,2023-02-12,2023-02-19,1
1241,2023-02-19,2023-02-26,1
1242,2023-02-26,2023-03-05,1
1243,2023-03-05,2023-03-12,0
1244,2023-03-12,2023-03-19,0
1245,2023-03-19,2023-03-26,0
1246,2023-03-26,2023-04-02,0
1247,2023-04-02,2023-04-09,0
1248,2023-04-09,2023-04-16,0
1249,2023-04-16,2023-04-23,0
1250,2023-04-23,2023-04-30,0
1251,2023-04-30,2023-05-07,0
1252,2023-05-07,2023-05-14,1
1253,2023-05-14,2023-05-21,1
1254,2023-05-21,2023-05-28,1
1255,2023-05-28,2023-06-04,1
1256,2023-06-04,2023-06-11,1
1257,2023-06-11,2023-06-18,0
1258,2023-06-18,2023-06-25,0
1259,2023-06-25,2023-07-02,0
1260,2023-07-02,2023-07-09,0
